bulk_symbols,structure
Li21 Nb3 O18,"Full Formula (Li7 Nb1 O6)
Reduced Formula: Li7NbO6
abc   :   5.894499   5.894499   5.894500
angles:  56.835411  56.835411  56.835418
pbc   :       True       True       True
Sites (14)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Li    0.123747  0.49343   0.725532         0
  1  Li    0.489276  0.235601  0.931483         0
  2  Li    0.235601  0.931483  0.489276         0
  3  Li    0.654626  0.654626  0.654626         0
  4  Li    0.725532  0.123747  0.49343          0
  5  Li    0.49343   0.725532  0.123747         0
  6  Li    0.931483  0.489276  0.235601         0
  7  Nb    0.000212  0.000212  0.000212        -0
  8  O     0.230797  0.639337  0.884243        -0
  9  O     0.375719  0.071598  0.795317        -0
 10  O     0.071598  0.795317  0.375719        -0
 11  O     0.884243  0.230797  0.639337        -0
 12  O     0.639337  0.884243  0.230797        -0
 13  O     0.795317  0.375719  0.071598        -0"
Ca4 Rh4 O12,"Full Formula (Ca2 Rh2 O6)
Reduced Formula: CaRhO3
abc   :   3.113142   5.142154   7.297586
angles:  90.000545  90.000190 107.618148
pbc   :       True       True       True
Sites (10)
  #  SP            a          b         c    magmom
---  ----  ---------  ---------  --------  --------
  0  Ca     0.250127   0.50029   0.249983     0.003
  1  Ca     0.749873   0.49971   0.750017     0.003
  2  Rh    -0         -0         0.5          0.58
  3  Rh    -0         -0         0            0.58
  4  O      0.924371   0.848946  0.249996     0.154
  5  O      0.075629   0.151054  0.750004     0.154
  6  O      0.626548   0.253141  0.447804     0.1
  7  O      0.373452   0.746859  0.552196     0.1
  8  O      0.62655    0.253142  0.052192     0.1
  9  O      0.37345    0.746858  0.947808     0.1"
Sr2 O2,"Full Formula (Sr1 O1)
Reduced Formula: SrO
abc   :   3.654023   3.654023   3.654024
angles:  59.999990  59.999988  59.999989
pbc   :       True       True       True
Sites (2)
  #  SP       a     b    c    magmom
---  ----  ----  ----  ---  --------
  0  Sr     0.5   0.5  0.5        -0
  1  O     -0    -0    0          -0"
Sr12 Si4 O20,"Full Formula (Sr12 Si4 O20)
Reduced Formula: Sr3SiO5
abc   :   6.957717   6.957717  10.801154
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (36)
  #  SP           a          b         c    magmom
---  ----  --------  ---------  --------  --------
  0  Sr    0.5       -0         0.491257         0
  1  Sr    0          0.5       0.008743         0
  2  Sr    0          0.5       0.508743         0
  3  Sr    0.5       -0         0.991257         0
  4  Sr    0.187863   0.187863  0.25             0
  5  Sr    0.312137   0.687863  0.25             0
  6  Sr    0.687863   0.312137  0.25             0
  7  Sr    0.812137   0.812137  0.25             0
  8  Sr    0.312137   0.312137  0.75             0
  9  Sr    0.187863   0.812137  0.75             0
 10  Sr    0.812137   0.187863  0.75             0
 11  Sr    0.687863   0.687863  0.75             0
 12  Si    0.5        0.5       0.5              0
 13  Si    0         -0         0.5              0
 14  Si    0         -0         0                0
 15  Si    0.5        0.5       0                0
 16  O     0.5       -0         0.72057          0
 17  O     0          0.5       0.77943          0
 18  O     0          0.5       0.27943          0
 19  O     0.5       -0         0.22057          0
 20  O     0.901163   0.158388  0.092088         0
 21  O     0.098837   0.841612  0.092088         0
 22  O     0.158388   0.901163  0.407912         0
 23  O     0.658388   0.598837  0.092088         0
 24  O     0.341612   0.401163  0.092088         0
 25  O     0.598837   0.658388  0.407912         0
 26  O     0.401163   0.341612  0.407912         0
 27  O     0.841612   0.098837  0.407912         0
 28  O     0.598837   0.341612  0.907912         0
 29  O     0.401163   0.658388  0.907912         0
 30  O     0.341612   0.598837  0.592088         0
 31  O     0.841612   0.901163  0.907912         0
 32  O     0.658388   0.401163  0.592088         0
 33  O     0.098837   0.158388  0.592088         0
 34  O     0.901163   0.841612  0.592088         0
 35  O     0.158388   0.098837  0.907912         0"
Ti2 Nb2 O8,"Full Formula (Ti1 Nb1 O4)
Reduced Formula: TiNbO4
abc   :   4.803020   4.803020   2.989369
angles:  90.000000  90.000000  91.273819
pbc   :       True       True       True
Sites (6)
  #  SP           a         b    c    magmom
---  ----  --------  --------  ---  --------
  0  Ti    0.5       0.5       0.5     0.209
  1  Nb    0         0         0       0.152
  2  O     0.208783  0.791217  0.5    -0.005
  3  O     0.791217  0.208783  0.5    -0.005
  4  O     0.304257  0.304257  0      -0.008
  5  O     0.695743  0.695743  0      -0.008"
Mg2 Al1 O6,"Full Formula (Mg2 Al1 O6)
Reduced Formula: Mg2AlO6
abc   :   5.373890   5.376993  10.420202
angles:  89.430478 103.470416 115.874558
pbc   :       True       True       True
Sites (9)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Mg    0.329527  0.170029  0.499978    -0.011
  1  Mg    0.670473  0.829971  0.500022    -0.011
  2  Al    0         0.5       0.5         -0.024
  3  O     0.371059  0.550161  0.58637      0.667
  4  O     0.754641  0.227108  0.583806     0.753
  5  O     0.078713  0.842314  0.586637     0.665
  6  O     0.628941  0.449839  0.41363      0.667
  7  O     0.921287  0.157686  0.413363     0.665
  8  O     0.245359  0.772892  0.416194     0.753"
Ba4 Ag4 O8,"Full Formula (Ba1 Ag1 O2)
Reduced Formula: BaAgO2
abc   :   3.702245   4.281072   4.281072
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (4)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Ba     0.5   0.5   0.5        -0
  1  Ag     0    -0    -0           0
  2  O     -0    -0     0.5         0
  3  O     -0     0.5  -0           0"
Ca8 Ga16 O32,"Full Formula (Ca8 Ga16 O32)
Reduced Formula: Ca(GaO2)2
abc   :   7.836617   9.240742  10.456522
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (56)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ca    0.502586  0.078586  0.886868        -0
  1  Ca    0.495933  0.626951  0.679126        -0
  2  Ca    0.995933  0.126951  0.820874        -0
  3  Ca    0.002586  0.578586  0.613132        -0
  4  Ca    0.504067  0.126951  0.320874        -0
  5  Ca    0.497414  0.578586  0.113132        -0
  6  Ca    0.997414  0.078586  0.386868        -0
  7  Ca    0.004067  0.626951  0.179126        -0
  8  Ga    0.785983  0.751134  0.883045         0
  9  Ga    0.743031  0.42396   0.847892         0
 10  Ga    0.693702  0.923736  0.628623         0
 11  Ga    0.256969  0.92396   0.152108         0
 12  Ga    0.285983  0.251134  0.616955         0
 13  Ga    0.806298  0.923736  0.128623         0
 14  Ga    0.714017  0.751134  0.383045         0
 15  Ga    0.306298  0.423736  0.371377         0
 16  Ga    0.312677  0.750959  0.4062           0
 17  Ga    0.812677  0.250959  0.0938           0
 18  Ga    0.687323  0.250959  0.5938           0
 19  Ga    0.756969  0.42396   0.347892         0
 20  Ga    0.243031  0.92396   0.652108         0
 21  Ga    0.193702  0.423736  0.871377         0
 22  Ga    0.214017  0.251134  0.116955         0
 23  Ga    0.187323  0.750959  0.9062           0
 24  O     0.337996  0.924177  0.320807        -0
 25  O     0.673333  0.272166  0.951294        -0
 26  O     0.978631  0.688173  0.968552         0
 27  O     0.250281  0.601218  0.795451        -0
 28  O     0.261127  0.430566  0.042816        -0
 29  O     0.973397  0.398087  0.80186         -0
 30  O     0.761127  0.930566  0.457184        -0
 31  O     0.826667  0.272166  0.451294        -0
 32  O     0.749719  0.101218  0.204549        -0
 33  O     0.173333  0.772166  0.548706        -0
 34  O     0.521369  0.688173  0.468552         0
 35  O     0.162004  0.924177  0.820807        -0
 36  O     0.473397  0.898087  0.69814         -0
 37  O     0.238873  0.430566  0.542816        -0
 38  O     0.137133  0.093447  0.591295        -0
 39  O     0.704537  0.757039  0.203337        -0
 40  O     0.021369  0.188173  0.031448         0
 41  O     0.750281  0.101218  0.704549        -0
 42  O     0.326667  0.772166  0.048706        -0
 43  O     0.249719  0.601218  0.295451        -0
 44  O     0.204537  0.257039  0.296663        -0
 45  O     0.738873  0.930566  0.957184        -0
 46  O     0.526603  0.398087  0.30186         -0
 47  O     0.862867  0.593447  0.408705        -0
 48  O     0.795463  0.757039  0.703337        -0
 49  O     0.295463  0.257039  0.796663        -0
 50  O     0.478631  0.188173  0.531448         0
 51  O     0.362867  0.093447  0.091295        -0
 52  O     0.837996  0.424177  0.179193        -0
 53  O     0.026603  0.898087  0.19814         -0
 54  O     0.637133  0.593447  0.908705        -0
 55  O     0.662004  0.424177  0.679193        -0"
Ga4 Bi4 O12,"Full Formula (Ga4 Bi4 O12)
Reduced Formula: GaBiO3
abc   :   5.153820   5.432759   9.931848
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (20)
  #  SP            a         b         c    magmom
---  ----  ---------  --------  --------  --------
  0  Ga     0.5       0.75      0.358026        -0
  1  Ga     0.5       0.75      0.858026        -0
  2  Ga     0.5       0.25      0.141974        -0
  3  Ga     0.5       0.25      0.641974        -0
  4  Bi    -0         0.25      0.887786        -0
  5  Bi    -0         0.75      0.112214        -0
  6  Bi    -0         0.25      0.387786        -0
  7  Bi    -0         0.75      0.612214        -0
  8  O      0.76932   0.095428  0.052558         0
  9  O      0.23068   0.904572  0.947442         0
 10  O      0.23068   0.595428  0.447442         0
 11  O      0.76932   0.404572  0.552558         0
 12  O      0.76932   0.904572  0.447442         0
 13  O      0.358672  0         0.25            -0
 14  O      0.358672  0.5       0.75            -0
 15  O      0.76932   0.595428  0.947442         0
 16  O      0.23068   0.404572  0.052558         0
 17  O      0.641328  0.5       0.25            -0
 18  O      0.23068   0.095428  0.552558         0
 19  O      0.641328  0         0.75            -0"
Ce1 Mn1 O3,"Full Formula (Ce1 Mn1 O3)
Reduced Formula: CeMnO3
abc   :   3.922932   3.922932   3.922932
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ce    0    0    0       0.953
  1  Mn    0.5  0.5  0.5     3.964
  2  O     0.5  0.5  0      -0.014
  3  O     0.5  0    0.5    -0.043
  4  O     0    0.5  0.5    -0.041"
Ge4 Bi8 O20,"Full Formula (Ge2 Bi4 O10)
Reduced Formula: GeBi2O5
abc   :   8.316097   8.316097   5.375380
angles:  90.000000  90.000000 141.301134
pbc   :       True       True       True
Sites (16)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ge    0.686951  0.686951  0.298727        -0
  1  Ge    0.313049  0.313049  0.798727        -0
  2  Bi    0.946804  0.609865  0.765723         0
  3  Bi    0.053196  0.390135  0.265723         0
  4  Bi    0.390135  0.053196  0.265723         0
  5  Bi    0.609865  0.946804  0.765723         0
  6  O     0.760456  0.25991   0.536462        -0
  7  O     0.239544  0.74009   0.036462        -0
  8  O     0.74009   0.239544  0.036462        -0
  9  O     0.25991   0.760456  0.536462        -0
 10  O     0.927045  0.733948  0.35238         -0
 11  O     0.072955  0.266052  0.85238         -0
 12  O     0.412436  0.412436  0.480715         0
 13  O     0.587564  0.587564  0.980715         0
 14  O     0.733948  0.927045  0.35238         -0
 15  O     0.266052  0.072955  0.85238         -0"
Al1 Bi1 O3,"Full Formula (Al2 Bi2 O6)
Reduced Formula: AlBiO3
abc   :   5.459999   5.459999   5.459999
angles:  59.457104  59.457104  59.457101
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Al    0.72139   0.72139   0.72139         -0
  1  Al    0.22139   0.22139   0.22139         -0
  2  Bi    0.994415  0.994415  0.994415         0
  3  Bi    0.494415  0.494415  0.494415         0
  4  O     0.915619  0.450125  0.014949         0
  5  O     0.514949  0.950125  0.415619         0
  6  O     0.450125  0.014949  0.915619         0
  7  O     0.415619  0.514949  0.950125         0
  8  O     0.950125  0.415619  0.514949         0
  9  O     0.014949  0.915619  0.450125         0"
Al6 V6 O24,"Full Formula (Al6 V6 O24)
Reduced Formula: AlVO4
abc   :   6.532405   7.750012   9.127694
angles:  96.166643 107.276364 101.462875
pbc   :       True       True       True
Sites (36)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Al    0.749285  0.700224  0.408348        -0
  1  Al    0.250715  0.299776  0.591652        -0
  2  Al    0.461009  0.88288   0.210311         0
  3  Al    0.538991  0.11712   0.789689         0
  4  Al    0.962404  0.307568  0.007201         0
  5  Al    0.037596  0.692432  0.992799         0
  6  V     0.002736  0.995227  0.254817        -0
  7  V     0.997264  0.004773  0.745183        -0
  8  V     0.196071  0.600881  0.343908        -0
  9  V     0.803929  0.399119  0.656092        -0
 10  V     0.51682   0.30052   0.124474         0
 11  V     0.48318   0.69948   0.875526         0
 12  O     0.049511  0.849439  0.853808        -0
 13  O     0.950489  0.150561  0.146192        -0
 14  O     0.843456  0.13262   0.825365        -0
 15  O     0.156544  0.86738   0.174635        -0
 16  O     0.951098  0.477016  0.857828        -0
 17  O     0.048902  0.522984  0.142172        -0
 18  O     0.748709  0.703015  0.968857        -0
 19  O     0.251291  0.296985  0.031143        -0
 20  O     0.645757  0.273492  0.97568         -0
 21  O     0.354243  0.726508  0.02432         -0
 22  O     0.477693  0.882185  0.784952        -0
 23  O     0.522307  0.117815  0.215048        -0
 24  O     0.64238   0.492042  0.254107         0
 25  O     0.35762   0.507958  0.745893         0
 26  O     0.257467  0.434442  0.435058         0
 27  O     0.742533  0.565558  0.564942         0
 28  O     0.042347  0.702787  0.425841         0
 29  O     0.957653  0.297213  0.574159         0
 30  O     0.160333  0.097559  0.432729         0
 31  O     0.839667  0.902441  0.567271         0
 32  O     0.457223  0.742846  0.361272         0
 33  O     0.542777  0.257154  0.638728         0
 34  O     0.750481  0.864309  0.263248         0
 35  O     0.249519  0.135691  0.736752         0"
Ca1 Hf1 O3,"Full Formula (Ca4 Hf4 O12)
Reduced Formula: CaHfO3
abc   :   5.546466   5.721773   7.949784
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (20)
  #  SP            a         b          c    magmom
---  ----  ---------  --------  ---------  --------
  0  Ca     0.012731  0.949737   0.75             0
  1  Ca     0.487269  0.449737   0.75             0
  2  Ca     0.512731  0.550263   0.25             0
  3  Ca     0.987269  0.050263   0.25             0
  4  Hf    -0         0.5       -0               -0
  5  Hf    -0         0.5        0.5             -0
  6  Hf     0.5       0         -0               -0
  7  Hf     0.5       0          0.5             -0
  8  O      0.100885  0.463559   0.25             0
  9  O      0.199672  0.202059   0.553276        -0
 10  O      0.199672  0.202059   0.946724        -0
 11  O      0.300328  0.702059   0.553276        -0
 12  O      0.300328  0.702059   0.946724        -0
 13  O      0.399115  0.963559   0.25             0
 14  O      0.600885  0.036441   0.75             0
 15  O      0.699672  0.297941   0.053276        -0
 16  O      0.699672  0.297941   0.446724        -0
 17  O      0.800328  0.797941   0.053276        -0
 18  O      0.800328  0.797941   0.446724        -0
 19  O      0.899115  0.536441   0.75             0"
Cu8 Se6 O20,"Full Formula (Cu8 Se6 O20)
Reduced Formula: Cu4Se3O10
abc   :   7.977860   8.166209   8.368536
angles:  77.185888  65.540358  81.472355
pbc   :       True       True       True
Sites (34)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cu    0.67869   0.550827  0.391032    -0.627
  1  Cu    0.321311  0.449175  0.608969    -0.627
  2  Cu    0.089253  0.562548  0.263256     0.674
  3  Cu    0.910753  0.437453  0.736733     0.674
  4  Cu    0.513976  0.371322  0.174813     0.672
  5  Cu    0.486025  0.628678  0.82519      0.672
  6  Cu    0.604555  0.161303  0.485114     0.664
  7  Cu    0.395453  0.838699  0.514888     0.664
  8  Se    0.161906  0.18704   0.470426     0.002
  9  Se    0.838096  0.812952  0.529571     0.002
 10  Se    0.947861  0.282224  0.119755     0.004
 11  Se    0.052138  0.717784  0.880239     0.004
 12  Se    0.402399  0.796379  0.162631     0.002
 13  Se    0.597591  0.203623  0.83738      0.002
 14  O     0.529842  0.385455  0.395613     0.027
 15  O     0.470164  0.614548  0.604391     0.027
 16  O     0.142326  0.29106   0.637309     0.011
 17  O     0.85767   0.708935  0.362691     0.011
 18  O     0.372422  0.080467  0.423555     0.076
 19  O     0.627582  0.919528  0.576442     0.076
 20  O     0.237028  0.348869  0.288345     0.098
 21  O     0.762977  0.651124  0.711654     0.098
 22  O     0.783293  0.328856  0.032069     0.07
 23  O     0.216701  0.67115   0.967932     0.07
 24  O     0.910751  0.462657  0.215248     0.019
 25  O     0.08925   0.537348  0.784748     0.019
 26  O     0.851378  0.133977  0.29971      0.054
 27  O     0.148625  0.866031  0.700283     0.054
 28  O     0.518423  0.642393  0.041376     0.076
 29  O     0.481572  0.357612  0.958626     0.076
 30  O     0.2231    0.688191  0.334324     0.079
 31  O     0.776896  0.3118    0.665685     0.079
 32  O     0.543648  0.795979  0.268975     0.077
 33  O     0.45635   0.204016  0.731026     0.077"
Ag1 Te1 O4,
Sn30 Ru6 O28,"Full Formula (Sn15 Ru3 O14)
Reduced Formula: Sn15Ru3O14
abc   :   7.121147   7.177795  13.002372
angles:  73.999625  74.107651  60.261912
pbc   :       True       True       True
Sites (32)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sn    0.902035  0.018204  0.177793        -0
  1  Sn    0.487353  0.60579   0.419443        -0
  2  Sn    0.489431  0.081822  0.425688         0
  3  Sn    0.003094  0.081832  0.425676         0
  4  Sn    0.095261  0.150035  0.659421         0
  5  Sn    0.44323   0.988374  0.125279         0
  6  Sn    0.151342  0.778041  0.919207        -0
  7  Sn    0.429107  0.499993  0.161463        -0
  8  Sn    0.909434  0.499999  0.161471         0
  9  Sn    0.680538  0.750931  0.887824        -0
 10  Sn    0.672536  0.269909  0.911066        -0
 11  Sn    0.146425  0.269956  0.911055        -0
 12  Sn    0.578099  0.673721  0.652912        -0
 13  Sn    0.095351  0.673711  0.652955        -0
 14  Sn    0.015021  0.588798  0.381151         0
 15  Ru    0.697896  0.298532  0.305712        -0
 16  Ru    0.884596  0.462763  0.768013        -0
 17  Ru    0.289261  0.387333  0.034104        -0
 18  O     0.12248   0.714749  0.466469         0
 19  O     0.69631   0.714802  0.466471         0
 20  O     0.958227  0.073895  0.009569         0
 21  O     0.121853  0.281566  0.474664        -0
 22  O     0.624354  0.694633  0.056636         0
 23  O     0.423203  0.565959  0.58771          0
 24  O     0.343231  0.944186  0.36939         -0
 25  O     0.424431  0.003385  0.592836         0
 26  O     0.979444  0.003336  0.592803         0
 27  O     0.353411  0.943     0.885613        -0
 28  O     0.817869  0.942985  0.885606         0
 29  O     0.743624  0.837257  0.182336        -0
 30  O     0.236855  0.837208  0.182371         0
 31  O     0.225068  0.801781  0.748065        -0"
Sr24 Pt6 O36,"Full Formula (Sr8 Pt2 O12)
Reduced Formula: Sr4PtO6
abc   :   6.901091   6.901091   6.901091
angles:  90.045473  90.045473  90.045472
pbc   :       True       True       True
Sites (22)
  #  SP            a          b         c    magmom
---  ----  ---------  ---------  --------  --------
  0  Sr     0.75       0.118089  0.381911         0
  1  Sr     0.381911   0.75      0.118089         0
  2  Sr     0.118089   0.381911  0.75             0
  3  Sr     0.25       0.881911  0.618089         0
  4  Sr     0.618089   0.25      0.881911         0
  5  Sr     0.881911   0.618089  0.25             0
  6  Sr     0.75       0.75      0.75            -0
  7  Sr     0.25       0.25      0.25            -0
  8  Pt     0.5        0.5       0.5             -0
  9  Pt    -0         -0         0               -0
 10  O      0.572335   0.785591  0.442073         0
 11  O      0.442073   0.572335  0.785591         0
 12  O      0.785591   0.442073  0.572335         0
 13  O      0.927665   0.057927  0.714409         0
 14  O      0.714409   0.927665  0.057927         0
 15  O      0.057927   0.714409  0.927665         0
 16  O      0.427665   0.214409  0.557927         0
 17  O      0.557927   0.427665  0.214409         0
 18  O      0.214409   0.557927  0.427665         0
 19  O      0.072335   0.942073  0.285591         0
 20  O      0.942073   0.285591  0.072335         0
 21  O      0.285591   0.072335  0.942073         0"
Be1 Pd1 O3,"Full Formula (Be1 Pd1 O3)
Reduced Formula: BePdO3
abc   :   3.498451   3.498451   3.498451
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Be    0.5  0.5  0.5     0
  1  Pd    0    0    0      -0
  2  O     0.5  0.5  0      -0
  3  O     0.5  0    0.5     0.001
  4  O     0    0.5  0.5    -0.001"
Mn2 V10 O24,"Full Formula (Mn1 V5 O12)
Reduced Formula: MnV5O12
abc   :   6.894288   6.894288   5.884168
angles:  74.920280  74.920280  84.388952
pbc   :       True       True       True
Sites (18)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Mn    0.08813   0.91187   0            4.576
  1  V     0.914313  0.085687  0.5          2.392
  2  V     0.791152  0.609591  0.51798      0.308
  3  V     0.611874  0.793297  0.011634     0.239
  4  V     0.390409  0.208848  0.48202      0.308
  5  V     0.206703  0.388126  0.988366     0.239
  6  O     0.961053  0.802318  0.403655    -0.047
  7  O     0.901778  0.378133  0.536508    -0.067
  8  O     0.80668   0.960029  0.879905    -0.043
  9  O     0.637879  0.649015  0.304159    -0.019
 10  O     0.621867  0.098222  0.463492    -0.067
 11  O     0.638194  0.631921  0.80941     -0.02
 12  O     0.350985  0.362121  0.695841    -0.019
 13  O     0.386073  0.912821  0.037134    -0.027
 14  O     0.368079  0.361806  0.19059     -0.02
 15  O     0.197682  0.038947  0.596345    -0.047
 16  O     0.087179  0.613927  0.962866    -0.027
 17  O     0.039971  0.19332   0.120095    -0.043"
K4 Cd4 O6,"Full Formula (K4 Cd4 O6)
Reduced Formula: K2Cd2O3
abc   :   6.448186   6.810512   6.639295
angles:  90.000000  90.000000 118.180649
pbc   :       True       True       True
Sites (14)
  #  SP            a          b          c    magmom
---  ----  ---------  ---------  ---------  --------
  0  K      0.844091   0.088863   0.346076         0
  1  K      0.844091   0.588863   0.153924         0
  2  K      0.155909   0.911137   0.653924         0
  3  K      0.155909   0.411137   0.846076         0
  4  Cd     0.339903   0.078697   0.125626        -0
  5  Cd     0.339903   0.578697   0.374374        -0
  6  Cd     0.660097   0.921303   0.874374        -0
  7  Cd     0.660097   0.421303   0.625626        -0
  8  O     -0          0.5        0.5             -0
  9  O      0.632928   0.737782   0.598007         0
 10  O      0.367072   0.762218   0.098007         0
 11  O      0.367072   0.262218   0.401993         0
 12  O     -0         -0         -0               -0
 13  O      0.632928   0.237782   0.901993         0"
Tl8 Cr4 O16,"Full Formula (Tl8 Cr4 O16)
Reduced Formula: Tl2CrO4
abc   :   5.838532   7.936796  10.813084
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (28)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Tl    0.25      0.507005  0.285819        -0
  1  Tl    0.75      0.492995  0.714181        -0
  2  Tl    0.25      0.007005  0.214181        -0
  3  Tl    0.75      0.992995  0.785819        -0
  4  Tl    0.25      0.322764  0.923055         0
  5  Tl    0.75      0.677236  0.076945         0
  6  Tl    0.25      0.822764  0.576945         0
  7  Tl    0.75      0.177236  0.423055         0
  8  Cr    0.25      0.786979  0.92403          0
  9  Cr    0.75      0.213021  0.07597          0
 10  Cr    0.25      0.286979  0.57597          0
 11  Cr    0.75      0.713021  0.42403          0
 12  O     0.516031  0.290555  0.140501        -0
 13  O     0.016031  0.709445  0.859499        -0
 14  O     0.983969  0.790555  0.359499        -0
 15  O     0.483969  0.209445  0.640501        -0
 16  O     0.483969  0.709445  0.859499        -0
 17  O     0.983969  0.290555  0.140501        -0
 18  O     0.016031  0.209445  0.640501        -0
 19  O     0.516031  0.790555  0.359499        -0
 20  O     0.25      0.232888  0.42761         -0
 21  O     0.75      0.767112  0.57239         -0
 22  O     0.25      0.732888  0.07239         -0
 23  O     0.75      0.267112  0.92761         -0
 24  O     0.75      0.505985  0.411176         0
 25  O     0.25      0.494015  0.588824         0
 26  O     0.75      0.005985  0.088824         0
 27  O     0.25      0.994015  0.911176         0"
K2 Na2 O2,"Full Formula (K2 Na2 O2)
Reduced Formula: KNaO
abc   :   3.962424   3.962424   6.171665
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP       a     b          c    magmom
---  ----  ----  ----  ---------  --------
  0  K     0.25  0.25   0.364904         0
  1  K     0.75  0.75   0.635096         0
  2  Na    0.25  0.75  -0                0
  3  Na    0.75  0.25  -0                0
  4  O     0.75  0.75   0.205455        -0
  5  O     0.25  0.25   0.794545        -0"
Cd2 Au2 O4,"Full Formula (Cd2 Au2 O4)
Reduced Formula: CdAuO2
abc   :   4.076325   5.501108   6.002848
angles:  64.269618  73.978514  86.644187
pbc   :       True       True       True
Sites (8)
  #  SP           a         b          c    magmom
---  ----  --------  --------  ---------  --------
  0  Cd    0.726993  0.730655   0.53047          0
  1  Cd    0.273007  0.269345   0.46953          0
  2  Au    0.5       0         -0                0
  3  Au    0         0.5       -0               -0
  4  O     0.318979  0.837807   0.809403        -0
  5  O     0.681021  0.162193   0.190597        -0
  6  O     0.281506  0.720448   0.35906         -0
  7  O     0.718494  0.279552   0.64094         -0"
Mg16 Co8 O32,"Full Formula (Mg8 Co4 O16)
Reduced Formula: Mg2CoO4
abc   :   5.946144   8.409117   5.946144
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (28)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Mg    0.75      0.25      0.75         0
  1  Mg    0.25      0.75      0.25         0
  2  Mg    0.75      0.25      0.25         0
  3  Mg    0.25      0.75      0.75         0
  4  Mg    0.5       0.5       0           -0.004
  5  Mg    0         0         0.5          0.004
  6  Mg    0         0.5       0           -0.004
  7  Mg    0.5       0         0.5          0.004
  8  Co    0.75      0.625     0.5         -3.166
  9  Co    0.25      0.375     0.5         -3.167
 10  Co    0.25      0.125     0            3.169
 11  Co    0.75      0.875     0            3.165
 12  O     0.501602  0.250801  0            0.313
 13  O     0.001602  0.750801  0.5         -0.313
 14  O     0.998397  0.250801  0            0.313
 15  O     0.498397  0.750801  0.5         -0.313
 16  O     0.25      0.500801  0.751602    -0.319
 17  O     0.75      0.000801  0.251602     0.319
 18  O     0.25      0.500801  0.248398    -0.319
 19  O     0.75      0.000801  0.748398     0.319
 20  O     0.75      0.499199  0.751602    -0.319
 21  O     0.25      0.999199  0.251602     0.318
 22  O     0.75      0.499199  0.248398    -0.319
 23  O     0.25      0.999199  0.748398     0.318
 24  O     0.001603  0.749199  0            0.314
 25  O     0.501603  0.249199  0.5         -0.313
 26  O     0.498398  0.749199  0            0.314
 27  O     0.998398  0.249199  0.5         -0.313"
Ba4 Ir2 O8,"Full Formula (Ba2 Ir1 O4)
Reduced Formula: Ba2IrO4
abc   :   7.298598   7.298598   7.298598
angles: 147.922027 147.922027  46.000484
pbc   :       True       True       True
Sites (7)
  #  SP            a          b     c    magmom
---  ----  ---------  ---------  ----  --------
  0  Ba     0.354907   0.354907   0       0
  1  Ba     0.645093   0.645093  -0       0
  2  Ir    -0         -0         -0       0.002
  3  O      0.5       -0          0.5     0
  4  O      0.154206   0.154206   0       0
  5  O      0.845794   0.845794  -0       0
  6  O     -0          0.5        0.5     0"
